"NAICS","Secteur","Etablissements","Employes","Lesions","Deces","DAFW"
"11","Agriculture","11106","1829106","15172","66","14681"
"14","Other","1","21","2","0","0"
"16","Other","1","5","2","0","0"
"17","Other","5","176","6","0","4"
"21","Mining","1756","262614","2762","11","859"
"22","Utilities","11539","1693203","17066","27","8582"
"23","Construction","69094","211442596","98228","327","48845"
"24","Other","1","9","2","0","0"
"26","Other","1","29","1","0","0"
"27","Other","1","279","1","0","2"
"31","Manufacturing","15655","4482134","19104","60","32736"
"32","Manufacturing","41284","79575007","54218","121","41684"
"33","Manufacturing","60373","297749302","78478","139","77535"
"34","Other","2","1139","3","0","2"
"35","Other","11","735","18","0","4"
"37","Other","10","454","18","0","1"
"42","Wholesale","42910","3869194","65611","72","37864"
"44","Retail","45627","3539742","59880","43","51214"
"45","Retail","12803","1625786","16346","8","42961"
"46","Other","3","624","3","0","9"
"48","Transportation","24224","3061962","32660","149","51661"
"49","Warehousing","13429","1899721","17640","38","38447"
"50","Other","2","33","4","0","0"
"51","Information","2463","404089","3959","6","1479"
"52","Finance","1315","619886","2310","1","352"
"53","Real Estate","10537","1913346","17637","17","6256"
"54","Professional","4944","982740","8026","9","2430"
"55","Management","3054","1332886964","5416","2","1265"
"56","Admin Services","20072","1038325691","28785","91","20599"
"59","Other","5","84","8","0","0"
"60","Other","1","65","1","0","0"
"61","Education","6368","2226878","8748","10","9026"
"62","Health Care","56724","196061882","73063","266","276487"
"63","Other","3","446","3","0","1"
"71","Arts","4510","24049540","6334","18","8045"
"72","Hospitality","16829","2212307","24692","27","18170"
"74","Other","1","306","1","0","4"
"81","Other Services","9196","695735","13674","17","5070"
"83","Other","3","696","3","0","0"
"87","Other","20","1452","30","0","6"
"90","Other","2","159","2","0","8"
"92","Other","13836","371661828","19872","138","52203"
"95","Other","1","1401","1","0","19"
"96","Other","1","12","1","0","2"
"99","Other","277","18848","425","0","211"
